year,source,domain,color_name,color_group,hex,color_code,rank,selection_type
2024,Vogue,Forecasting / Fashion,Sky Blue,Blue,#87BBD8,Editorial approximation,3,editorial trend
2024,Vogue,Forecasting / Fashion,Pastel Lilac,Purple,#C8B4D9,Editorial approximation,4,editorial trend
2024,Vogue,Forecasting / Fashion,Liquid Gold,Yellow,#C9A227,Editorial approximation,5,editorial trend
2025,Vogue,Forecasting / Fashion,Butter Yellow,Yellow,#F5E6A7,Editorial approximation,1,editorial trend
2025,Vogue,Forecasting / Fashion,Wispy Pink,Pink,#E7C7CD,Editorial approximation,2,editorial trend
2025,Vogue,Forecasting / Fashion,Moody Plum,Purple,#59344F,Editorial approximation,3,editorial trend
2025,Vogue,Forecasting / Fashion,Crisp Blue,Blue,#6F9EC6,Editorial approximation,4,editorial trend
2025,Vogue,Forecasting / Fashion,Mocha Mousse,Brown,#A47864,Editorial approximation,5,editorial trend
2026,Vogue,Forecasting / Fashion,Tomato Red,Red,#D84432,Editorial approximation,1,editorial trend
2026,Vogue,Forecasting / Fashion,Lime Green,Green,#B6D52E,Editorial approximation,2,editorial trend
2026,Vogue,Forecasting / Fashion,Emerald Green,Green,#128A5A,Editorial approximation,3,editorial trend
2026,Vogue,Forecasting / Fashion,Klein Blue,Blue,#1646A0,Editorial approximation,4,editorial trend
2026,Vogue,Forecasting / Fashion,Fuchsia,Pink,#C62A7C,Editorial approximation,5,editorial trend
2026,Vogue,Forecasting / Fashion,Pale Pink,Pink,#EAC6CF,Editorial approximation,6,editorial trend
2026,Vogue,Forecasting / Fashion,Cloud Dancer,Neutral,#F0EEE9,Editorial approximation,7,editorial trend
2026,Vogue,Forecasting / Fashion,Purple,Purple,#754C91,Editorial approximation,8,editorial trend
